Playername,Country,Age,Height,Position,Mean Year,Appearances,Goals,,,,,,
C. W. Alcock,England,,,Forward,1871,5,1,,,,,,
Robert Leckie (footballer),Scotland,,,,1872,1,0,,,,,,
James Smith (footballer born 1848),Scotland,,,Defender,1872,1,0,,,,,,
William Ker (footballer),Scotland,,,,1872.5,2,0,,,,,,
Robert Smith (footballer born 1843),Scotland,,,Forward,1872.5,2,0,,,,,,
Reginald Courtenay Welch,England,,,Defender,1873,2,0,,,,,,
Henry Renny-Tailyour,Scotland,,,Forward,1873,1,1,,,,,,
James Thomson (Scottish international footballer),Scotland,,,,1873,3,0,,,,,,
John Hawley Edwards,England,,,Forward,1874,1,0,,,,,,
Joseph Taylor (footballer),Scotland,,,Defender,1874,6,0,,,,,,
William Carr (footballer),England,,,Goalkeeper,1875,1,0,,,,,,
Richard Geaves,England,,,Forward,1875,1,0,,,,,,
Edward Haygarth,England,,,Defender,1875,1,0,,,,,,
Billy MacKinnon,Scotland,,,Forward,1875.5,9,5,,,,,,
Walter Buchanan (footballer),England,,,Forward,1876,1,0,,,,,,
Moses McNeil,Scotland,,,Midfielder,1876.5,2,0,,,,,,
Morton Betts,England,,,Defender,1877,1,0,,,,,,
Beaumont Jarrett,England,,,Defender,1877,3,0,,,,,,
Cecil Wingfield-Stratford,England,,,Forward,1877,1,0,,,,,,
Alex McLintock,Scotland,,,Defender,1877.5,3,0,,,,,,
Conrad Warner,England,,,Goalkeeper,1878,1,0,,,,,,
Edgar Field,England,,,Defender,1878.5,2,0,,,,,,
Henry Wace (footballer),England,,,Forward,1878.5,3,0,,,,,,
Peter Campbell (Rangers footballer),Scotland,,,Forward,1878.5,2,3,,,,,,
Rupert Anderson,England,,,Goalkeeper,1879,1,0,,,,,,
Reg Birkett,England,,,Goalkeeper,1879,1,0,,,,,,
Edward Christian (footballer),England,,,Defender,1879,1,0,,,,,,
Arthur Goodyer,England,,,Midfielder,1879,1,0,,,,,,
Harold Morse,England,,,Defender,1879,1,0,,,,,,
Thomas Sorby,England,,,Forward,1879,1,1,,,,,,
Herbert Whitfeld,England,,,Forward,1879,1,1,,,,,,
Tom Vallance,Scotland,,,Defender,1879,7,0,,,,,,
Billy Mosforth,England,,,Forward,1879.5,9,3,,,,,,
Segar Bastard,England,,,Forward,1880,1,0,,,,,,
Edwin Luntley,England,,,Defender,1880,2,0,,,,,,
Charles Campbell (footballer),Scotland,,,Defender,1880,13,1,,,,,,
Jimmy Douglas (footballer born 1859),Scotland,,,Defender,1880,1,0,,,,,,
Thomas Marshall (footballer born 1858),England,,,Forward,1880.5,2,0,,,,,,
Fred Hargreaves,England,,,Defender,1881,3,0,,,,,,
John Hargreaves (footballer),England,,,Midfielder,1881,2,0,,,,,,
John Hawtrey,England,,,Goalkeeper,1881,2,0,,,,,,
George Ker,Scotland,,,Defender,1881,5,10,,,,,,
Harry Swepstone,England,,,Goalkeeper,1881.5,6,0,,,,,,
Andrew Watson (footballer),Scotland,,1.83,Defender,1881.5,3,0,,,,,,
Horace Barnet,England,,,Forward,1882,1,0,,,,,,
Arthur Brown (footballer born 1859),England,,,Forward,1882,3,4,,,,,,
Henry Cursham,England,,,Forward,1882,8,5,,,,,,
Edward Johnson (footballer born 1860),England,,,Forward,1882,2,2,,,,,,
Robert King (footballer),England,,,Defender,1882,1,0,,,,,,
Percival Parr,England,,,Goalkeeper,1882,1,0,,,,,,
John Kay (footballer),Scotland,,,,1882,6,5,,,,,,
Clement Mitchell,England,,,Forward,1882.5,5,5,,,,,,
James Brown (footballer born 1862),England,,,Forward,1883,5,0,,,,,,
Percy de Paravicini,England,,,Defender,1883,3,0,,,,,,
Alfred Dobson,England,,,Defender,1883,4,0,,,,,,
Harry Goodhart,England,,,Forward,1883,3,0,,,,,,
John Hudson (footballer),England,,,Defender,1883,1,0,,,,,,
Bruce Russell (footballer),England,,,Defender,1883,1,0,,,,,,
Oliver Whateley,England,,,Forward,1883,2,2,,,,,,
Joseph Lindsay,Scotland,,,,1883,8,6,,,,,,
Stuart Macrae (footballer),England,,,Defender,1883.5,5,0,,,,,,
William Anderson (Scottish footballer),Scotland,,,Midfielder,1883.5,6,3,,,,,,
Joe Beverley,England,,,Defender,1884,3,0,,,,,,
Harry Moore (footballer),England,,,Defender,1884,2,0,,,,,,
Francis Pawson,England,,,Forward,1884,2,1,,,,,,
James Gossland,Scotland,,,Forward,1884,1,2,,,,,,
Johnny Graham (footballer born 1857),Scotland,,,Defender,1884,1,0,,,,,,
William Harrower,Scotland,,,Forward,1884,3,4,,,,,,
Sam Thomson,Scotland,,,Forward,1884,2,0,,,,,,
Thomas Danks,England,,,Forward,1885,1,0,,,,,,
Alexander Barbour,Scotland,,,Forward,1885,1,1,,,,,,
Alex Higgins (footballer),Scotland,,,,1885,1,3,,,,,,
Andrew Amos,England,,,Defender,1885.5,2,1,,,,,,
David Allan (footballer),Scotland,,,Forward,1885.5,3,2,,,,,,
John Forbes (footballer),Scotland,,,Defender,1885.5,5,0,,,,,,
Herby Arthur,England,,,Goalkeeper,1886,7,0,,,,,,
Charles Dobson,England,,,Defender,1886,1,0,,,,,,
Teddy Leighton,England,,,Forward,1886,1,0,,,,,,
Joe Lofthouse,England,,,Forward,1886,7,2,,,,,,
Thelwell Pike,England,,,Midfielder,1886,1,0,,,,,,
